depth,seed,seq_len,accel_answer,orth_answer,accel_content,orth_content,exit_answer,settle_answer
3,1,155,23.226545333862305,0.07673797756433487,19.356319427490234,-0.09828536212444305,16,16
3,2,155,22.392292022705078,0.1317639946937561,19.209787368774414,-0.08016997575759888,14,15
5,0,226,22.822689056396484,0.11168923228979111,20.875139236450195,-0.17442692816257477,14,15
5,1,226,23.562824249267578,0.053292497992515564,20.909870147705078,-0.20019172132015228,15,16
5,2,226,21.52248764038086,0.27828413248062134,20.92002296447754,-0.15769131481647491,13,15
5,0,316,25.06775665283203,0.3273344337940216,19.618154525756836,0.2553277611732483,17,20
5,1,316,22.973562240600586,0.3973086178302765,18.106159210205078,0.2827630639076233,14,19
5,2,316,23.24821662902832,0.4316668212413788,18.186092376708984,0.2826983630657196,15,22
3,0,204,21.272396087646484,0.47831958532333374,17.69818115234375,0.27461904287338257,14,23
3,1,204,24.093395233154297,0.41873231530189514,17.628122329711914,0.26725342869758606,14,22
3,2,204,23.792387008666992,0.4368046224117279,17.753175735473633,0.2649911344051361,14,23
2,0,163,20.506792068481445,0.45384225249290466,18.081710815429688,0.0218095313757658,13,18
2,1,163,21.267982482910156,0.4419698417186737,17.70847511291504,0.05765532702207565,13,17
2,2,163,20.633256912231445,0.45857614278793335,17.61919403076172,0.051896482706069946,13,18
2,0,122,22.145469665527344,0.4708813726902008,18.116901397705078,0.2200603187084198,14,24
2,1,122,22.605527877807617,0.4492921233177185,17.833274841308594,0.21749156713485718,14,16
2,2,122,20.970630645751953,0.506590723991394,17.456188201904297,0.23985379934310913,13,16
5,0,301,23.293184280395508,0.4419940412044525,18.481264114379883,0.16977587342262268,15,22
5,1,301,23.233583450317383,0.45387089252471924,18.58428382873535,0.17338289320468903,15,23
5,2,301,22.100017547607422,0.4613057076931,19.040443420410156,0.12546733021736145,15,23
2,0,119,21.721609115600586,0.11279062181711197,19.43447494506836,-0.06053423881530762,13,15
2,1,119,23.08922004699707,0.041223231703042984,20.60519027709961,-0.10142049938440323,13,14
2,2,119,22.839275360107422,0.10296013951301575,19.895875930786133,-0.07096229493618011,13,14
3,0,155,22.523962020874023,0.5007690787315369,19.17051124572754,0.038793645799160004,14,26
3,1,155,21.091917037963867,0.5479223728179932,19.199357986450195,-0.017154525965452194,14,26
3,2,155,23.83610725402832,0.4941725730895996,19.426977157592773,0.013374092988669872,15,27
5,0,221,21.752809524536133,0.22670041024684906,20.344579696655273,-0.09489158540964127,13,16
5,1,221,21.515756607055664,0.2300892025232315,19.35633659362793,-0.03598090633749962,12,15
5,2,221,23.422870635986328,0.13869085907936096,19.926122665405273,-0.0897526815533638,13,15
5,0,319,26.695369720458984,0.31094932556152344,18.661043167114258,0.23781774938106537,16,20
5,1,319,24.854637145996094,0.313787579536438,18.55823516845703,0.22045744955539703,15,19
5,2,319,25.188488006591797,0.36643049120903015,17.9898681640625,0.23643524944782257,15,20
3,0,153,21.93527603149414,0.25891104340553284,18.915849685668945,-0.07577977329492569,14,17
3,1,153,23.186527252197266,0.2523987293243408,18.53609275817871,-0.03387821838259697,15,17
3,2,153,23.910938262939453,0.24381901323795319,18.766799926757812,-0.044273123145103455,15,17
5,0,305,22.68585205078125,0.4494398832321167,18.81761360168457,0.20131956040859222,15,24
5,1,305,24.09331512451172,0.43920907378196716,18.860137939453125,0.20763671398162842,16,24
5,2,305,22.9312744140625,0.4635561406612396,19.28586196899414,0.2141629010438919,15,24
3,0,208,24.18311309814453,0.4461362659931183,17.89157485961914,0.12580937147140503,14,22
3,1,208,22.365880966186523,0.47930479049682617,17.567359924316406,0.14995037019252777,13,22
3,2,208,22.99262809753418,0.4607667028903961,17.955778121948242,0.14158348739147186,14,22
2,0,180,23.63475227355957,0.3791366517543793,17.082977294921875,0.31163373589515686,16,22
2,1,180,22.931596755981445,0.4029579162597656,16.858749389648438,0.3230253756046295,15,21
