n_ops,kind,task_seed,init_seed,seq_len,winding,steps_settle,contraction,lyap
8,local,1,2,37,0.7178086638450623,16,-0.0677582398056984,-0.046156491563679306
8,local,1,3,37,0.6974183320999146,15,-0.06682917475700378,-0.046156491563679306
8,local,1,4,37,0.6946954727172852,15,-0.0662330761551857,-0.046156491563679306
8,track,2,0,34,0.6202080845832825,15,-0.06981506198644638,-0.05132200310907357
8,track,2,1,34,0.6416882276535034,15,-0.06758345663547516,-0.05132200310907357
8,track,2,2,34,0.6295272707939148,14,-0.06839257478713989,-0.05132200310907357
8,track,2,3,34,0.6269650459289551,16,-0.06823299825191498,-0.05132200310907357
8,track,2,4,34,0.6393600106239319,15,-0.0680738165974617,-0.05132200310907357
8,local,2,0,37,0.7000492811203003,15,-0.06736300140619278,-0.04897509005770169
8,local,2,1,37,0.7076825499534607,15,-0.06427818536758423,-0.04897509005770169
8,local,2,2,37,0.7157570719718933,15,-0.06767133623361588,-0.04897509005770169
8,local,2,3,37,0.709859311580658,14,-0.06701941788196564,-0.04897509005770169
8,local,2,4,37,0.7023178339004517,14,-0.06782280653715134,-0.04897509005770169
8,track,3,0,34,0.621790885925293,13,-0.06707749515771866,-0.050439483360233885
8,track,3,1,34,0.639502227306366,14,-0.06701977550983429,-0.050439483360233885
8,track,3,2,34,0.635407567024231,13,-0.06738512217998505,-0.050439483360233885
8,track,3,3,34,0.6303647756576538,14,-0.06760966032743454,-0.050439483360233885
8,track,3,4,34,0.6361343264579773,14,-0.06668104976415634,-0.050439483360233885
8,local,3,0,37,0.7036110162734985,15,-0.06816673278808594,-0.04657637276959643
8,local,3,1,37,0.7066773176193237,16,-0.0663929432630539,-0.04657637276959643
8,local,3,2,37,0.7220041155815125,17,-0.06664150208234787,-0.04657637276959643
8,local,3,3,37,0.7023196220397949,15,-0.06553472578525543,-0.04657637276959643
8,local,3,4,37,0.6997984051704407,15,-0.06484440714120865,-0.04657637276959643
8,track,4,0,34,0.6311429142951965,12,-0.06763734668493271,-0.050736819825479715
8,track,4,1,34,0.6534683108329773,13,-0.06702134013175964,-0.050736819825479715
8,track,4,2,34,0.6473778486251831,13,-0.06664194166660309,-0.050736819825479715
8,track,4,3,34,0.6406286358833313,15,-0.06809390336275101,-0.050736819825479715
8,track,4,4,34,0.6479402780532837,14,-0.06610780954360962,-0.050736819825479715
8,local,4,0,37,0.5983009934425354,14,-0.0651167780160904,-0.04477654135728
8,local,4,1,37,0.5874320864677429,15,-0.06536310911178589,-0.04477654135728
8,local,4,2,37,0.598102331161499,16,-0.06630036979913712,-0.04477654135728
8,local,4,3,37,0.5865437984466553,15,-0.06621133536100388,-0.04477654135728
8,local,4,4,37,0.5872154831886292,15,-0.06710006296634674,-0.04477654135728
8,track,5,0,34,0.6294599175453186,13,-0.06715764105319977,-0.049442922198913
8,track,5,1,34,0.6589335203170776,13,-0.06614755839109421,-0.049442922198913
8,track,5,2,34,0.6309210658073425,13,-0.06672778725624084,-0.049442922198913
8,track,5,3,34,0.6461296081542969,13,-0.0654948279261589,-0.049442922198913
8,track,5,4,34,0.6552072763442993,13,-0.06651827692985535,-0.049442922198913
8,local,5,0,37,0.5788023471832275,16,-0.06599081307649612,-0.046463550771194274
8,local,5,1,37,0.5554157495498657,16,-0.06801513582468033,-0.046463550771194274
8,local,5,2,37,0.5685664415359497,17,-0.06748438626527786,-0.046463550771194274
8,local,5,3,37,0.5831212997436523,16,-0.06793490052223206,-0.046463550771194274
8,local,5,4,37,0.5745395421981812,17,-0.06816254556179047,-0.046463550771194274
12,track,0,0,46,0.6341019868850708,14,-0.06772617250680923,-0.04843674365298023
12,track,0,1,46,0.6427450776100159,12,-0.0686478316783905,-0.04843674365298023
12,track,0,2,46,0.6289151310920715,12,-0.06846735626459122,-0.04843674365298023
12,track,0,3,46,0.6394389271736145,13,-0.06785503029823303,-0.04843674365298023
12,track,0,4,46,0.6450037360191345,13,-0.06768838316202164,-0.04843674365298023
12,local,0,0,49,0.6308926343917847,12,-0.0683225467801094,-0.04727103854921873
12,local,0,1,49,0.6237839460372925,14,-0.06827296316623688,-0.04727103854921873
12,local,0,2,49,0.6475333571434021,14,-0.06643065810203552,-0.04727103854921873
12,local,0,3,49,0.644535481929779,16,-0.06822005659341812,-0.04727103854921873
