n_ops,kind,seq_len,winding,steps_settle
32,local,109,0.6391735672950745,13
32,track,106,0.6461222767829895,14
32,local,109,0.6165929436683655,16
32,track,106,0.6564165353775024,14
32,local,109,0.6340248584747314,14
32,track,106,0.6703877449035645,14
32,local,109,0.6139945387840271,15
32,track,106,0.6393710970878601,15
32,local,109,0.6260347366333008,15
32,track,106,0.6769347190856934,13
32,local,109,0.6282682418823242,16
32,track,106,0.644773006439209,14
32,local,109,0.6259028315544128,14
32,track,106,0.659865140914917,14
32,local,109,0.6126859188079834,15
32,track,106,0.6753728985786438,13
32,local,109,0.6220550537109375,16
32,track,106,0.6451371312141418,13
32,local,109,0.6238955855369568,16
32,track,106,0.6275321245193481,15
32,local,109,0.6529845595359802,13
48,track,154,0.6355226635932922,13
48,local,157,0.6133117079734802,13
48,track,154,0.6304208040237427,15
48,local,157,0.6345465183258057,13
48,track,154,0.6114215850830078,15
48,local,157,0.6311704516410828,13
48,track,154,0.6441080570220947,15
48,local,157,0.6144087314605713,13
48,track,154,0.6305803060531616,15
48,local,157,0.6156303882598877,13
48,track,154,0.6333932280540466,13
48,local,157,0.612269401550293,13
48,track,154,0.6170142292976379,15
48,local,157,0.6146522760391235,13
48,track,154,0.6453842520713806,15
48,local,157,0.6245274543762207,13
48,track,154,0.6127729415893555,15
48,local,157,0.6133577227592468,13
48,track,154,0.6407673358917236,15
48,local,157,0.600395679473877,13
48,track,154,0.6192484498023987,16
48,local,157,0.6213678121566772,13
48,track,154,0.6332080364227295,15
48,local,157,0.5845596790313721,13
48,track,154,0.6290568709373474,13
48,local,157,0.6027545928955078,13
48,track,154,0.6234596967697144,13
48,local,157,0.6126567721366882,13
48,track,154,0.6102687120437622,15
48,local,157,0.6322990655899048,13
